National,Province,District,Facility Name,Facility code
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Nyava Clinic,ZW020126
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Nzvimbo Clinic,ZW020432
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Pachanza Clinic,ZW020528
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Pfunyanguwo Rural Health Centre,ZW020505
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Ponai Private Clinic,ZW020186
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Rosa Rural Hospital,ZW02040B
Zimbabwe Ministry of Health,Mashonaland Central ,Rushinga ,Rusambo Clinic,ZW020626
Zimbabwe Ministry of Health,Mashonaland Central ,Rushinga ,Rushinga Rural Health Centre,ZW020604
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Rusununguko Clinic,ZW020161
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Rutope Clinic,ZW020182
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Ruyamuro Clinic,ZW020343
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Sandringham Clinic,ZW020489
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Shamva District Hospital,ZW02070A
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Shamva Gold Mine Clinic,ZW020776
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Shashi Private Hospital,ZW020185
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Shinje Rural Health Centre,ZW020307
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Shopo Clinic,ZW020487
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Shutu Rural Health Centre,ZW020403
Zimbabwe Ministry of Health,Mashonaland Central ,Centenary ,St Albert's Mission Hospital,ZW0202A
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Storis Clinic,ZW020478
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Suoguru Clinic,ZW020488
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Takawira Clinic,ZW020728
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Takunda Rural Health Centre,ZW020184
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Trojan Nickel Clinic,ZW020176
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Tsakare Rural Health Centre,ZW020506
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Tsungubvi Clinic,ZW020447
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Von Abo Clinic,ZW020411
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Wadzanai Clinic,ZW020712
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,ZPS Bindura Prison Clinic,ZW020103
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,ZPS Mazowe Prison Clinic,ZW020479
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,ZPS Mount Darwin Prison Clinic,ZW020531
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Acton Reynolds Rural Health Centre,ZW030901
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Arcturus Mine Clinic,ZW030275
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Beatrice Rural Hospital,ZW03090A
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Benjimed Private Clinic,ZW030589
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Border Church Rural Health Centre,ZW030501
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Borera Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Borradaile Pvt Hospital,ZW03050C
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Bosha Rural Health Centre,ZW030201
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Bromley Clinic,ZW030245
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Bvumbura Clinic,ZW030125
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Charakupa Clinic,ZW030921
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Charehwa Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Chidye Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Chigondo Clinic,ZW030425
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Chikondoma Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Chikuhwa Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Chikurumadziva Clinic,ZW030445
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Chikwaka Rural Hospital,ZW03020D
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Chikwizo Clinic,ZW030691
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Chimbwanda Rural Health Centre,ZW030502
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Chimukoko Rural Health Centre,ZW030601
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Chinamhora Clinic,ZW030225
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Chindenga Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Chingamuka Clinic,ZW030635
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Chinyika Clinic,ZW030226
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Chiota Rural Hospital,ZW03050B
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Chipararwe Council Clinic,ZW030529
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Chipfunde Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Chishawasha Mission Primary Clinic,ZW030278
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Chisvo Clinic,ZW030634
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Chitate Rural Health Centre,ZW030701
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Chitimbe Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Chitowa 1 Clinic,ZW030723
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Chitowa 2 Clinic,ZW030724
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Chitsungo Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Chiunye Rural Health Centre,ZW030602
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Chivhu Clinic,ZW030145
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Chivhu General Hospital,ZW03010A
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Chivhu ZRP Clinic,ZW030107
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Craiglea Clinic,ZW030730
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Cranborne Clinic,ZW030246
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Dandara Rural Health Centre,ZW030725
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Daramombe Clinic,ZW030191
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Dendera Clinic,ZW030692
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Derbyshire Clinic,ZW030983
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Dewe Council Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Dimbiti Rural Health Centre,ZW030503
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Dindi Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Domboshava Rural Health Centre,ZW030202
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Dombotombo Council Clinic,ZW030561
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Dombwe Rural Health Centre,ZW030726
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Epworth Mission Clinic,ZW030990
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Epworth Polyclinic,ZW030926
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Gandachibvuva Mission Hospital,
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Gandami Clinic,ZW030146
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Garaba Rural Health Centre,ZW030401
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Gokomere Clinic,ZW030126
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Goneso Rural Health Centre,ZW030402
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Goromonzi Clinic,ZW030636
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Goromonzi High School Clinic,ZW030205
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Goso Rural Health Centre,ZW030790
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Goto Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Gotora,ZW030449
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Gozi Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Henry John Reimer Clinic,ZW030247
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Hombiro Clinic,ZW030940
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Hoyuyu I Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Hoyuyu II Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Hwedza Rural Hospital,ZW03040A
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Idube Clinic,ZW030448
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Igava Council Clinic,ZW030545
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Jekwa Rural Health Centre,ZW030703
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Joan Rankine Clinic,ZW030251
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Jonasi Clinic,ZW030922
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Kadenge Rural Health Centre,ZW030704
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Kadzere Rural Health Centre,ZW030727
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Kafura Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Kambarami Rural Health Centre,ZW030748
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Kapondoro Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Kapotesa Clinic,ZW030626
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Karimbika Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Katsukunya Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Kawazva Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Kawere Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Kondo Rural Health Centre,ZW030604
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Kotwa Clinic,ZW030627
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Kotwa District Hospital,ZW03060A
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Kowo Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Kowoyo Clinic,ZW030227
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Kubatsirana Clinic,ZW030248
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Kunaka Hospital,ZW03090B
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Kushinga Phikhelela Rural Health Centre,ZW030504
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Kushinga Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Lanark Clinic,ZW030984
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Lancashire Clinic,ZW030147
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Luisa Guidotti Mission Hospital,
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Lustleigh Council Clinic,ZW030530
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Macheke Clinic,ZW030745
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Madamombe Clinic,ZW030127
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Madamombe Rural Health Centre,ZW030705
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Madimutsa Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Mahusekwa District Hospital,
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Makaha Rural Health Centre,ZW030605
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Makanyazingwa Clinic,ZW030923
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Makarara Clinic,ZW030446
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Makosa Rural Hospital,
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Makumbe District Hospital,ZW03020A
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Manyene Clinic,ZW030128
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Manyika Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Maramba Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Marembera Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Marirangwe Clinic,ZW030924
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Marondera Provincial Hospital,ZW03050A
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Marondera Rural Council Clinic,ZW030528
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Marondera ZRP Clinic,ZW030512
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Masarakufa Rural Health Centre,ZW030606
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Masasa Clinic,ZW030129
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Masasa Rural Health Centre,ZW030905
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Masenda Clinic,ZW030628
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Mashambanhaka Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Masikana Council Clinic,ZW030525
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Masikandoro Clinic,ZW030228
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Matedza Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Mathew Rusike Children's Home Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Matututu Clinic,ZW030731
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Mavhurazi clinic,ZW030637
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Mbiru Clinic,ZW030130
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Melfort Clinic,ZW030274
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Mother of Peace Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Mt St Mary's Mission Hospital,ZW03040B
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Muchinjike Rural Health Centre,ZW030749
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Muda Clinic,ZW030925
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Mudzi Camp Clinic,ZW030608
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Mudzimurema Rural Health Centre,ZW030505
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Mufudziwakanaka Rural Health Centre,ZW030101
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Mukamba Clinic,ZW030427
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Munamba Rural Health Centre,ZW030706
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Murehwa ZRP Clinic,ZW030708
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Murewa Gvt District Hospital,ZW03070A
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Murewa Polyclinic,ZW030722
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Murezi Rural Health Centre,ZW030102
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Mushimbo Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Mushipe Clinic,ZW030131
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Muskwe Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Musumha Rural Health Centre,ZW030108
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Mutawatawa District Hospital,
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Mutemwa Leprosy Settlement Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Mutoko District Hospital,
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Mutoro Clinic,ZW030148
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Mwanza Rural Health Centre,ZW030203
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Mwerahari Clinic,ZW030192
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Nehoreka Pvt Clinic,ZW030771
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Ngwerume Rural Health Centre,ZW030750
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Nhakiwa Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Nhangabwe Clinic,ZW030132
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Nharira Rural Hospital,ZW03010B
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Nhowe Mission Hospital,ZW03070C
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Nyadire Mission Hospital,
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Nyadire Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Nyahuku Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Nyakasoro Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Nyamande Clinic,ZW030638
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Nyamanyora Rural Health Centre,ZW030607
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Nyamapanda Clinic,ZW030629
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Nyamatawa Clinic,ZW030630
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Nyameni Council Clinic,ZW030562
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Nyamhere Rural Health Centre,ZW030103
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Nyamukoho Clinic,ZW030631
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Nyamutumbu Rural Health Centre,ZW030728
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Nyamuzizi Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Nyamuzuwe Rural Hospital,
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Nyanzou Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Nyapfunde Clinic,ZW030639
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Nyarutepo Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Nyaure Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Nyembanzvere Council Clinic,ZW030563
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,Nzira Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Overspill Clinic,ZW030927
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Pagejo RaRuby Clinic,ZW030276
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Philipsdale Clinic,ZW030151
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Pokoteke Clinic,ZW030133
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Pote Clinic,ZW030230
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Rakodzi Pvt Clinic,ZW030588
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Range Rural Health Centre,ZW03010C
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Ridigita Farm Prison Clinic,ZW030513
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Ringa Rural Health Centre,ZW030904
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Rusike Clinic,ZW030249
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Rusununguko Clinic,ZW030204
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Rutanhira Clinic,ZW030134
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Ruwa Clinic,ZW030250
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Ruwa PolyClinic,ZW030273
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,Ruwa Rehabilitation Hospital,ZW03020C
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Sadza District Hospital,ZW03010D
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Sango Clinic,ZW030450
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Sengezi Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Shambamuto Rural Health Centre,ZW030729
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Shinga Clinic,ZW030632
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Shumba Clinic,ZW030135
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Sowa Rural Health Centre,
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,St Dominics Chishawasha School Clinic,ZW030279
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,St Joseph's Clinic,ZW030252
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,St Paul's Musami Mission Hospital,ZW03070B
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,St Pius Clinic,ZW030625
Zimbabwe Ministry of Health,Mashonaland East ,Mudzi ,Suswe Clinic,ZW030633
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Tavara Clinic,ZW030150
Zimbabwe Ministry of Health,Mashonaland East ,Uzumba Maramba Pfungwe ,Tsokodeka clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Unyetu Clinic,ZW030136
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Virginia Clinic,ZW030746
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Waddilove Clinic,ZW030586
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Waterloo Clinic,ZW030747
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Wazvaramhaka Clinic,ZW030137
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,Welcome Home Rural Health Centre,ZW030751
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,Wenimbi Rural Health Centre,ZW030506
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Wiltshire Clinic,ZW030149
Zimbabwe Ministry of Health,Mashonaland East ,Seke ,Zhakata Rural Health Centre,ZW030902
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,ZN Army Camp Clinic Mutoko,
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,ZPS Chivhu Prison Clinic,ZW030106
Zimbabwe Ministry of Health,Mashonaland East ,Goromonzi ,ZPS Goromonzi Clinic,ZW030277
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,ZPS Marondera Prison Clinic,ZW030511
Zimbabwe Ministry of Health,Mashonaland East ,Murewa ,ZPS Murewa Prison Clinic,ZW030707
Zimbabwe Ministry of Health,Mashonaland East ,Mutoko ,ZPS Mutoko Prison Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Marondera ,ZPS Ridigita Prison Clinic,
Zimbabwe Ministry of Health,Mashonaland East ,Chikomba ,Zvamatobwe Rural Health Centre,ZW030104
Zimbabwe Ministry of Health,Mashonaland East ,Hwedza ,Zviduri Clinic,ZW030447
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Al Davies Clinic,ZW070586
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Amaveni Clinic,ZW070561
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Banga Clinic,ZW070725
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Bannockburn Clinic,
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Bonda Clinic,ZW070625
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Buchwa Camp Clinic,ZW070679
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Burure Clinic,ZW070294
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Cellmed Private Clinic,
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Central Estates Clinic,ZW070186
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Chabwira Clinic,ZW070626
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Chaza Clinic,
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Chemahororo Clinic,ZW070311
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Chengwena Clinic,ZW070125
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Cheziya Clinic,ZW070312
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Chidembeko Clinic,ZW070627
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Chiedza Clinic,ZW070640
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Chikato Rural Health Centre,ZW070701
Zimbabwe Ministry of Health,Midlands ,Gweru ,Chikwingwizha Mission Hospital,ZW07040C
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Chilimanzi Rural Hospital,ZW07010B
Zimbabwe Ministry of Health,Midlands ,Gweru ,Chinamasa Clinic,ZW070424
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Chingezi Clinic,ZW070628
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Chireya Mission Hospital,ZW07020B
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Chironde Rural Health Centre,ZW070702
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Chitapo Clinic,ZW070313
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Chitave Clinic,ZW070314
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Chitora Rural Health Centre,ZW070703
Zimbabwe Ministry of Health,Midlands ,Gweru ,Chiwundura Clinic,ZW070425
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Chizhou Clinic,
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Chrome Mine Hospital,ZW07070C
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Community Polyclinic,
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Dambridge Clinic,ZW070535
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Denda Clinic,ZW070291
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Dendera Rural Health Centre,ZW070501
